gamma,gnum,hyst,falaise_pas,n_ban,e3_restr_med,e3_ban_med,e3_evasion_bloquee,e3_bannis,p0.001_resserre,p0.001_dma_bloque,p0.001_banni,p0.005_resserre,p0.005_dma_bloque,p0.005_banni,p0.02_resserre,p0.02_dma_bloque,p0.02_banni
0.8,205,0,0,3,3.0,14.0,0.777,0.983,0.0038,0.0018,0.002,0.0418,0.0327,0.06,0.3724,0.3496,0.62
0.8,205,1,0,4,3.0,12.0,0.847,0.995,0.0086,0.0034,0.004,0.088,0.0664,0.13,0.5831,0.5453,0.872
0.85,218,0,1,4,3.0,12.0,0.812,0.993,0.0038,0.0018,0.002,0.0548,0.0457,0.09,0.4963,0.4771,0.8
0.85,218,1,7,5,3.0,11.0,0.86,0.999,0.0096,0.0034,0.004,0.1128,0.0876,0.168,0.6868,0.6526,0.952
0.898,230,0,2,6,3.0,11,0.841,0.999,0.0039,0.0018,0.002,0.0858,0.0768,0.158,0.6244,0.609,0.92
0.898,230,1,11,8,3.0,11.0,0.87,1.0,0.0126,0.0034,0.004,0.1698,0.1351,0.266,0.7679,0.733,0.988
0.95,243,0,5,12,3.0,10.0,0.864,1.0,0.0112,0.0069,0.01,0.1875,0.1719,0.342,0.7914,0.7774,0.994
0.95,243,1,22,15,3.0,9.0,0.878,1.0,0.0256,0.0098,0.016,0.2732,0.22,0.414,0.8557,0.8205,0.996
0.98,251,0,15,27,3.0,9.0,0.865,1.0,0.0255,0.0154,0.028,0.2927,0.2606,0.488,0.8632,0.8436,0.998
0.98,251,1,50,33,3.0,8.0,0.876,1.0,0.0463,0.0176,0.032,0.3667,0.2832,0.526,0.8946,0.851,0.998
